abilities,number of ability,against,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,basic,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Vital Spirit', 'Anger Point', 'Defiant']",3,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,305,80,5120,70,305,190,Pig Monkey Pokémon,35,1000000,0.5,40,Mankey,50,56,35,45,70,fighting,,28,1,0
"['Vital Spirit', 'Anger Point', 'Defiant']",3,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,455,105,5120,70,455,75,Pig Monkey Pokémon,60,1000000,1,65,Primeape,50,57,60,70,95,fighting,,32,1,0
"['Intimidate', 'Flash Fire', 'Justified']",3,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,350,70,5120,70,350,190,Puppy Pokémon,45,1250000,0.7,55,Growlithe,75.4,58,70,50,60,fire,,19,1,0
"['Intimidate', 'Flash Fire', 'Justified']",3,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,555,110,5120,70,555,75,Legendary Pokémon,80,1250000,1.9,90,Arcanine,75.4,59,100,80,95,fire,,155,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,300,50,5120,70,300,255,Tadpole Pokémon,40,1059860,0.6,40,Poliwag,50,60,40,40,90,water,,12.4,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,385,65,5120,70,385,120,Tadpole Pokémon,65,1059860,1,65,Poliwhirl,50,61,50,50,90,water,,20,1,0
"['Water Absorb', 'Damp', 'Swift Swim']",3,,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,510,95,5120,70,510,45,Tadpole Pokémon,95,1059860,1.3,90,Poliwrath,50,62,70,90,70,water,fighting,54,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",3,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,310,20,5120,70,310,200,Psi Pokémon,15,1059860,0.9,25,Abra,75.4,63,105,55,90,psychic,,19.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",3,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,400,35,5120,70,400,100,Psi Pokémon,30,1059860,1.3,40,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0
"['Synchronize', 'Inner Focus', 'Magic Guard']",3,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,600,50,5120,70,600,50,Psi Pokémon,65,1059860,1.5,55,Alakazam,75.4,65,175,105,150,psychic,,48,1,0
"['Guts', 'No Guard', 'Steadfast']",3,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,305,80,5120,70,305,180,Superpower Pokémon,50,1059860,0.8,70,Machop,75.4,66,35,35,35,fighting,,19.5,1,0
"['Guts', 'No Guard', 'Steadfast']",3,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,405,100,5120,70,405,90,Superpower Pokémon,70,1059860,1.5,80,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0
"['Guts', 'No Guard', 'Steadfast']",3,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,505,130,5120,70,505,45,Superpower Pokémon,80,1059860,1.6,90,Machamp,75.4,68,65,85,55,fighting,,130,1,0
"['Chlorophyll', 'Gluttony']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,300,75,5120,70,300,255,Flower Pokémon,35,1059860,0.7,50,Bellsprout,50,69,70,30,40,grass,poison,4,1,0
"['Chlorophyll', 'Gluttony']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,390,90,5120,70,390,120,Flycatcher Pokémon,50,1059860,1,65,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0
"['Chlorophyll', 'Gluttony']",2,,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,490,105,5120,70,490,45,Flycatcher Pokémon,65,1059860,1.7,80,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",3,,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,335,40,5120,70,335,190,Jellyfish Pokémon,35,1250000,0.9,40,Tentacool,50,72,50,100,70,water,poison,45.5,1,0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']",3,,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,515,70,5120,70,515,60,Jellyfish Pokémon,65,1250000,1.6,80,Tentacruel,50,73,80,120,100,water,poison,55,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",6,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,300,80,3840,70,300,255,Rock Pokémon,100,1059860,,40,Geodude,50,74,30,30,20,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",6,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,390,95,3840,70,390,120,Rock Pokémon,115,1059860,,55,Graveler,50,75,45,45,35,rock,ground,,1,0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",6,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,495,120,3840,70,495,45,Megaton Pokémon,130,1059860,,80,Golem,50,76,55,65,45,rock,ground,,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",3,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,410,85,5120,70,410,190,Fire Horse Pokémon,55,1000000,1,50,Ponyta,50,77,65,65,90,fire,,30,1,0
"['Run Away', 'Flash Fire', 'Flame Body']",3,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,500,100,5120,70,500,60,Fire Horse Pokémon,70,1000000,1.7,65,Rapidash,50,78,80,80,105,fire,,95,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",3,,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,315,65,5120,70,315,190,Dopey Pokémon,65,1000000,1.2,90,Slowpoke,50,79,40,40,15,water,psychic,36,1,0
"['Oblivious', 'Own Tempo', 'Regenerator']",3,,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,590,75,5120,70,590,75,Hermit Crab Pokémon,180,1000000,1.6,95,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",3,,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,325,35,5120,70,325,190,Magnet Pokémon,70,1000000,0.3,25,Magnemite,,81,95,55,45,electric,steel,6,1,0
"['Magnet Pull', 'Sturdy', 'Analytic']",3,,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,465,60,5120,70,465,60,Magnet Pokémon,95,1000000,1,50,Magneton,,82,120,70,70,electric,steel,60,1,0
"['Keen Eye', 'Inner Focus', 'Defiant']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,377,90,5120,70,377,45,Wild Duck Pokémon,55,1000000,0.8,52,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,310,85,5120,70,310,190,Twin Bird Pokémon,45,1000000,1.4,35,Doduo,50,84,35,35,75,normal,flying,39.2,1,0
"['Run Away', 'Early Bird', 'Tangled Feet']",3,,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,470,110,5120,70,470,45,Triple Bird Pokémon,70,1000000,1.8,60,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,325,45,5120,70,325,190,Sea Lion Pokémon,55,1000000,1.1,65,Seel,50,86,45,70,45,water,,90,1,0
"['Thick Fat', 'Hydration', 'Ice Body']",3,,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,475,70,5120,70,475,75,Sea Lion Pokémon,80,1000000,1.7,90,Dewgong,50,87,70,95,70,water,ice,120,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",6,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,325,80,5120,70,325,190,Sludge Pokémon,50,1000000,,80,Grimer,50,88,40,50,25,poison,poison,,1,0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",6,,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,500,105,5120,70,500,75,Sludge Pokémon,75,1000000,,105,Muk,50,89,65,100,50,poison,poison,,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,305,65,5120,70,305,190,Bivalve Pokémon,100,1250000,0.3,30,Shellder,50,90,45,25,40,water,,4,1,0
"['Shell Armor', 'Skill Link', 'Overcoat']",3,,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,525,95,5120,70,525,60,Bivalve Pokémon,180,1250000,1.5,50,Cloyster,50,91,85,45,70,water,ice,132.5,1,0
['Levitate'],1,,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,310,35,5120,70,310,190,Gas Pokémon,30,1059860,1.3,30,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0
['Levitate'],1,,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,405,50,5120,70,405,90,Gas Pokémon,45,1059860,1.6,45,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0
['Cursed Body'],1,,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,600,65,5120,70,600,45,Shadow Pokémon,80,1059860,1.5,60,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0
"['Rock Head', 'Sturdy', 'Weak Armor']",3,,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,385,45,6400,70,385,45,Rock Snake Pokémon,160,1000000,8.8,35,Onix,50,95,30,45,70,rock,ground,210,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",3,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,328,48,5120,70,328,190,Hypnosis Pokémon,45,1000000,1,60,Drowzee,50,96,43,90,42,psychic,,32.4,1,0
"['Insomnia', 'Forewarn', 'Inner Focus']",3,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,483,73,5120,70,483,75,Hypnosis Pokémon,70,1000000,1.6,85,Hypno,50,97,73,115,67,psychic,,75.6,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,325,105,5120,70,325,225,River Crab Pokémon,90,1000000,0.4,30,Krabby,50,98,25,25,50,water,,6.5,1,0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",3,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,475,130,5120,70,475,60,Pincer Pokémon,115,1000000,1.3,55,Kingler,50,99,50,50,75,water,,60,1,0
